,business_name,one_line_address,longitude,latitude,street,zip,Industry,line_of_business,category
56,Deborahs Gifts & Keepsakes,"2949 WEST 28TH STREET # 1011B, BROOKLYN, NY 11224",-73.993549,40.574706,2949 W 28th St Apt 1011B,11224,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
57,A One Gift Inc,"7505 37TH AVENUE, JACKSON HEIGHTS, NY 11372",-73.890785,40.749163,7505 37th Ave,11372,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
58,Gaudeamus Games & Gifts Inc,"45 CHRISTOPHER STREET, NEW YORK, NY 10014",-74.001851,40.733959000000006,45 Christopher St,10014,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
59,Giftlab,"390 5TH AVENUE, NEW YORK, NY 10018",-73.98408,40.74981,390 5th Ave,10018,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
60,Xu Lan Yu,"708 MANHATTAN AVENUE, BROOKLYN, NY 11222",-73.951701,40.725801000000004,708 Manhattan Ave,11222,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
61,Jaz Gifts,"47 HALL STREET, BROOKLYN, NY 11205",-73.96656,40.69729,47 Hall St,11205,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
62,Edible Arrangements,"1071 GATES AVENUE, BROOKLYN, NY 11221",-73.92256,40.68956,1071 Gates Ave,11221,GIFT BASKETS AND PARCELS,MISC SHOPPING,SHOPPING
64,Popcorn Pawz,"3702 RIVERDALE AVENUE, BRONX, NY 10463",-73.90691600000001,40.886635999999996,3702 Riverdale Ave,10463,POPCORN & POPCORN SUPPL,MISC SHOPPING,SHOPPING
67,Brooklyn My Local Locksmith,"177 7TH AVENUE, BROOKLYN, NY 11215",-73.977468,40.671376,177 7th Ave,11215,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
68,Emergency Locksmith,"545 5TH AVENUE, BROOKLYN, NY 11215",-73.988816,40.665706,545 5th Ave,11215,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
69,Locksmith,"180 7TH AVENUE, BROOKLYN, NY 11215",-73.97864799999999,40.671828000000005,180 7th Ave,11215,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
70,Locksmith & Locks,"194 PROSPECT PARK WEST, BROOKLYN, NY 11215",-73.979875,40.661479,194 Prospect Park W,11215,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
71,Major Ossining Locksmith,"3 NELSON AVENUE, OSSINING, NY 10562",-73.860313,41.150446,3 Nelson Ave,10562,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
72,Spring St Locksmith,"39 SPRING STREET, OSSINING, NY 10562",-73.863506,41.159898,39 Spring St,10562,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
73,Ossining Priority Locksmith,"240 SOUTH HIGHLAND AVENUE, OSSINING, NY 10562",-73.86206999999999,41.142806,240 S Highland Ave,10562,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
74,Locksmith,"99 KRYSTAL DRIVE, SOMERS, NY 10589",-73.717448,41.324294,99 Krystal Dr,10589,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
75,Aarons Locksmith Co,"2918 BOSTON ROAD, BRONX, NY 10469",-73.85885400000001,40.86799,2918 Boston Rd,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
76,John Lock Outs Locksmith,"2454 EASTCHESTER ROAD, BRONX, NY 10469",-73.843014,40.862516,2454 Eastchester Rd,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
77,Mobile Locksmith of Bronx,"2960 WICKHAM AVENUE, BRONX, NY 10469",-73.83783199999999,40.870628,2960 Wickham Ave,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
78,Bronx Twenty Four Hours Locksmith,"1400 NEEDHAM AVENUE, BRONX, NY 10469",-73.851332,40.878394,1400 Needham Ave,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
79,Mobile Locksmith In Bronx,"2545 GUNTHER AVENUE, BRONX, NY 10469",-73.83653699999999,40.863806,2545 Gunther Ave,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
80,Bronx Locksmith Commercial Locks,"926 ALLERTON AVENUE, BRONX, NY 10469",-73.860318,40.865252000000005,926 Allerton Ave,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
81,Seven Days Locksmith,"2700 WILLIAMSBRIDGE ROAD, BRONX, NY 10469",-73.85981600000001,40.866017,2700 Williamsbridge Rd,10469,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
82,Usa Silver Locksmith,"3924 7TH AVENUE, BROOKLYN, NY 11232",-74.000221,40.648265,3924 7th Ave,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
83,A A A 24 Hr Emergency Locksmith,"34 34TH STREET, BROOKLYN, NY 11232",-74.00719000000001,40.65769,34 34th St,11232,LOCKS AND LOCKSMITHS,MISC SHOPPING,SHOPPING
